experiment,accuracy,precision,recall,f1_score,roc_auc
Ablation - Original Features Only,0.8503401360544217,0.6363636363636364,0.14893617021276595,0.2413793103448276,0.8037298647600999
Ablation - Original + Engineered Features,0.8435374149659864,0.5454545454545454,0.1276595744680851,0.20689655172413793,0.7993797915410458
