model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.8673469387755102,0.6428571428571429,0.3829787234042553,0.48,0.8167800844172626
Decision Tree,0.7891156462585034,0.3469387755102041,0.3617021276595745,0.3541666666666667,0.6160737358945646
Tuned Random Forest,0.8503401360544217,0.6363636363636364,0.14893617021276595,0.2413793103448276,0.8131622017400294
Random Forest,0.8435374149659864,0.5454545454545454,0.1276595744680851,0.20689655172413793,0.7993797915410458
